neonym,sustainable t0 pmw,sustainable t1 pmw,generic t0 pmw,generic t1 pmw,sustainable pmw,generic pmw
"('veggie', 'burgers')",102.9,59.01,6.367,7.52,8.61,80.79
"('veggie', 'burger')",93.35,60.9,6.94,8.21,9.69,79.16
"('vegan', 'burger')",21.49,43.33,0.25,3.056,2.04,39.3
"('vegan', 'burgers')",15.75,29.94,0.29,2.56,1.66,26.87
"('vegetarian', 'burger')",2.50,3.63,0.39,0.6,0.62,3.1
"('vegetarian', 'burgers')",2.47,1.68,0.31,0.41,0.45,2.07
"('veg', 'burgers')",2.26,2.09,na,na,0.09,2.03
"('veg', 'burger')",1.5,2.21,na,na,0.14,2.13
"('meatless', 'burger')",0.92,0.99,na,na,0.35,1.26
"('meatless', 'burgers')",0.73,1.19,na,na,0.3,1.26
"('veggies', 'burgers')",0.73,0.49,na,na,0.08,0.61
"('veggies', 'burger')",na,na,na,na,0.03,0.12
"('fake', 'burger')",0.61,1.02,0.1,0.65,0.4,3.38
"('fake', 'burgers')",0.55,2.29,0.13,0.46,0.35,1.39
"('beyond', 'burgers')",0.37,49.6,na,na,na,na
"('beyond', 'burger')",2.23,50.91,na,na,na,na
"('vegan', 'cheese')",164.5,250.67,1.64,12.39,7.06,221.95
"('fake', 'cheese')",18.65,10.54,4.18,6.17,4.74,20.19
"('vegetarian', 'cheese')",3.42,3.51,0.18,0.19,0.21,3.02
"('plant-based', 'cheese')",0.4,2.7,na,na,0.07,1.44
"('animal', 'cheese')",na,na,na,na,0.09,1.53
"('non-dairy', 'cheese')",3.85,2,0.12,0.28,0.25,2.81
"('veggie', 'cheese')",4.7,1.77,0.15,0.11,0.12,3.12
"('plant', 'cheese')",0.49,1.42,na,na,0.11,0.9
"('dairy-free', 'cheese')",1.07,1.34,na,na,0.11,1.33
"('veg', 'cheese')",1.19,1.31,0.06,0.09,0.09,1.22
"('faux', 'cheese')",3.82,1.02,0.11,0.11,0.09,2.24
"('nondairy', 'cheese')",0.4,0.58,na,na,0.02,0.45
"('alternative', 'cheese')",0.37,0.61,na,na,0.038,0.51
"('imitation', 'cheese')",1.01,0.52,0.61,0.71,0.65,0.8
"('beyond', 'cheese')",na,na,na,na,0.04,0.21
"('mock', 'cheese')",1.07,0.29,na,na,0.018,0.55
"('fake', 'meat')",88.83,116.59,5.44,25.22,14.19,89.55
"('non', 'meat')",6.53,11.06,1.14,3.78,2.68,8.94
"('vegetarian', 'meat')",4.67,5.34,1.17,1.62,1.421,4.73
"('beyond', 'meat')",57.39,121.91,0.71,21.33,12.14,107.25
"('faux', 'meat')",30.49,21.63,0.6,1.73,1.28,23.41
"('vegan', 'meat')",19.26,54.1,0.6,8.29,4.15,38.53
"('imitation', 'meat')",5.22,7.75,0.48,1.99,1.26,6.69
"('veggie', 'meat')",5.13,4.65,0.5,0.93,0.69,4.57
"('veg', 'meat')",0.85,0.96,0.34,0.61,0.47,0.82
"('mock', 'meat')",17.46,25.93,0.23,1.06,0.63,20.81
"('plants', 'meat')",0.55,0.93,0.15,0.58,0.37,0.87
"('meatless', 'meat')",1.71,1.68,0.14,0.57,0.47,2.03
"('plant-based', 'milk')",2.05,13.13,na,na,0.54,8.83
"('non-dairy', 'milk')",20.12,12.55,0.27,1.5,0.89,17.3
"('nondairy', 'milk')",5.28,6.68,na,na,0.12,5.35
"('vegan', 'milk')",11.32,26.8,0.27,1.68,0.86,18.82
"('plant', 'milk')",27.63,100.1,0.14,4.27,2.2,79.82
"('alternative', 'milk')",2.38,4.09,0.09,0.86,0.43,3.34
"('dairy-free', 'milk')",0.85,0.73,na,na,0.048,0.88
"('fake', 'milk')",0.85,1.48,0.38,0.82,0.61,1.15
"('veg', 'milk')",0.31,0.29,na,na,na,na
"('vegetarian', 'milk')",na,na,0.06,0.05,na,na
