Keyword/Phrase,Reason for Exclusion
remember the milk,figurative
computer app,out of topic
cock,sexual
beat my meat,sexual
porn,sexual
have beef with,figurative
turkey calls,Turkey (country)
leader of turkey,Turkey (country)
kindler egg,figurative/mistake
reel big fish,music band
the milk man,figurative
your man meat,sexual
chicken pox,disease/mistake
string cheese incident,music band
lay/laid (a) egg(s),biology/animals
pregnancies,out of topic
egg them (on),figurative
like dead fish,figurative
ages like milk,figurative
i'm a bot,noise
nipples,sexual
titty,sexual
chicken and egg,biology/animals
catching/caught (a) fish,biology/animals
left to get milk,figurative
