neonym,sustainable t0 pmw,sustainable t1 pmw,generic t0 pmw,generic t1 pmw,sustainable pmw,generic pmw
"('meat', 'burger')",4.15,14.83,0.87,3.86,3.23,14.36
"('meat', 'burgers')",4.09,15.83,0.53,3.21,2.37,12.9
"('real', 'burger')",2.08,2.9,1.33,2.6,2.38,4.28
"('real', 'burgers')",0.67,1.51,0.42,0.95,0.72,1.49
"('normal', 'burger')",0.61,1.22,0.77,1.54,1.29,1.3
"('normal', 'burgers')",na,na,0.19,0.5,0.43,0.68
"('actual', 'burger')",0.52,0.67,0.45,1.11,0.91,0.77
"('actual', 'burgers')",na,na,0.11,0.36,0.26,0.38
"('animal', 'burgers')",na,na,na,na,0.05,0.59
"('animal', 'burger')",na,na,0.21,0.12,0.13,0.64
"('traditional', 'burger')",na,na,0.08,0.26,0.17,0.44
"('traditional', 'burgers')",na,na,na,na,0.04,0.088
"('animal', 'cheese')",0.79,2.5,0.08,0.12,na,na
"('animals', 'cheese')",na,na,0.056,0.18,na,na
"('dairy', 'cheese')",18.77,28.78,0.69,1.61,1.26,25.6
"('real', 'cheese')",17.25,21.49,14.33,17.96,14.23,18.85
"('actual', 'cheese')",2.63,2.56,2.53,4.53,3.29,2.64
"('normal', 'cheese')",1.71,2.44,1.14,1.89,1.48,2.31
"('non-vegan', 'cheese')",0.79,1.19,na,na,0.02,0.93
"('traditional', 'cheese')",0.73,0.73,0.18,0.51,0.29,0.73
"('non-vegetarian', 'cheese')",0.31,0.35,na,na,na,na
"('true', 'cheese')",na,na,0.27,0.43,na,na
"('natural', 'cheese')",na,na,0.33,0.45,na,na
"('real', 'meat')",27.01,54.36,11.22,35.82,24.8,41.42
"('animal', 'meat')",14.29,28.63,4.1,11.95,8.79,21.76
"('actual', 'meat')",10.13,17.51,4.46,10.24,7.76,13.83
"('normal', 'meat')",2.11,4.12,1.3,3.92,2.85,3.44
"('traditional', 'meat')",1.89,3.86,0.52,3.11,1.81,3.08
"('animals', 'meat')",3.05,3.08,0.49,1.37,0.98,3.29
"('natural', 'meat')",1.86,2.27,1,2.6,2.09,2.12
"('conventional', 'meat')",1.86,1.86,0.38,1.48,0.88,1.48
"('true', 'meat')",1.19,1.48,0.5,0.73,0.6,1.37
"('dairy', 'milk')",34.83,63.02,5.89,15.43,10.7,55.01
"('animal', 'milk')",3.94,10.22,1.05,3.46,2.22,7.45
"('animals', 'milk')",1.25,1.51,0.81,1.54,1.27,1.68
"('real', 'milk')",5.22,7.58,2.88,5.59,3.95,7.183
"('normal', 'milk')",2.23,4.41,2.71,4.06,3.41,3.63
"('actual', 'milk')",1.22,2.27,0.96,2.05,1.45,2.01
"('traditional', 'milk')",na,na,0.13,0.2,na,na
"('natural', 'milk')",0.31,0.35,0.48,0.68,na,na
"('conventional', 'milk')",na,na,0.17,0.22,na,na
"('true', 'milk')",na,na,0.25,0.53,na,na
